ward_id,ward_name,population,area,city_id,median_household_income
1,Etobicoke North,118040,48.38,0,"$60,000 to $69,999"
2,Etobicoke Centre,118020,37.36,0,"$80,000 to $89,999"
3,Etobicoke-Lakeshore,129080,40.03,0,"$70,000 to $79,999"
4,Parkdale-High Park,108805,15.33,0,"$60,000 to $69,999"
5,York South-Weston,116685,24.98,0,"$50,000 to $59,999"
6,York Centre,104320,35.37,0,"$60,000 to $69,999"
7,Humber River-Black Creek,108035,30.71,0,"$50,000 to $59,999"
8,Eglinton-Lawrence,114395,22.67,0,"$70,000 to $79,999"
9,Davenport,108470,12.1,0,"$60,000 to $69,999"
10,Spadina-Fort York,115510,18.71,0,"$70,000 to $79,999"
11,University-Rosedale,104310,13.6,0,"$60,000 to $69,999"
12,Toronto-St. Paulâ€™s,107900,13.12,0,"$70,000 to $79,999"
13,Toronto Centre,103805,5.86,0,"$50,000 to $59,999"
14,Toronto-Danforth,106875,21.81,0,"$70,000 to $79,999"
15,Don Valley West,102510,30.3,0,"$80,000 to $89,999"
16,Don Valley East,94580,22.97,0,"$60,000 to $69,999"
17,Don Valley North,110080,24.43,0,"$60,000 to $69,999"
18,Willowdale,118800,19.77,0,"$60,000 to $69,999"
19,Beaches-East York,109465,16.81,0,"$60,000 to $69,999"
20,Scarborough Southwest,110280,28.2,0,"$50,000 to $59,999"
21,Scarborough Centre,112605,28.21,0,"$50,000 to $59,999"
22,Scarborough-Agincourt,105540,21.4,0,"$60,000 to $69,999"
23,Scarborough North,98800,30.44,0,"$60,000 to $69,999"
24,Scarborough-Guildwood,102390,26.12,0,"$50,000 to $59,999"
25,Scarborough-Rouge Park,102275,54.1,0,"$80,000 to $89,999"
